x	ncov
0.0	1.0
0.062	0.9961977186311787
0.064	0.9923954372623575
0.072	0.9885931558935361
0.073	0.9847908745247148
0.076	0.9809885931558935
0.081	0.9771863117870723
0.084	0.973384030418251
0.089	0.9695817490494296
0.091	0.9657794676806084
0.101	0.9619771863117871
0.102	0.9581749049429658
0.106	0.9543726235741445
0.107	0.9505703422053232
0.117	0.9467680608365019
0.122	0.9429657794676806
0.13	0.9391634980988594
0.131	0.935361216730038
0.135	0.9315589353612167
0.144	0.9277566539923954
0.153	0.9239543726235742
0.166	0.9201520912547528
0.17	0.9163498098859315
0.177	0.9125475285171103
0.209	0.908745247148289
0.21	0.9049429657794676
0.216	0.9011406844106464
0.22	0.8973384030418251
0.238	0.8935361216730038
0.245	0.8897338403041826
0.254	0.8859315589353612
0.263	0.8821292775665399
0.272	0.8783269961977186
0.298	0.8745247148288974
0.301	0.870722433460076
0.303	0.8669201520912547
0.307	0.8631178707224334
0.314	0.8593155893536122
0.315	0.8555133079847909
0.333	0.8517110266159695
0.34	0.8479087452471483
0.365	0.844106463878327
0.388	0.8403041825095057
0.389	0.8365019011406845
0.411	0.8326996197718631
0.412	0.8288973384030418
0.419	0.8250950570342206
0.432	0.8212927756653993
0.452	0.8174904942965779
0.456	0.8136882129277566
0.457	0.8098859315589353
0.459	0.8060836501901141
0.476	0.8022813688212928
0.484	0.7984790874524714
0.488	0.7946768060836502
0.489	0.7908745247148289
0.508	0.7870722433460076
0.517	0.7832699619771863
0.527	0.779467680608365
0.531	0.7756653992395437
0.551	0.7718631178707225
0.552	0.7680608365019012
0.561	0.7642585551330798
0.586	0.7604562737642586
0.593	0.7566539923954373
0.631	0.752851711026616
0.639	0.7490494296577948
0.65	0.7452471482889734
0.651	0.7414448669201521
0.652	0.7376425855513309
0.654	0.7338403041825095
0.665	0.7300380228136882
0.684	0.726235741444867
0.696	0.7224334600760456
0.715	0.7186311787072244
0.719	0.714828897338403
0.733	0.7110266159695817
0.739	0.7072243346007605
0.742	0.7034220532319392
0.742	0.6996197718631179
0.742	0.6958174904942966
0.742	0.6920152091254753
0.742	0.688212927756654
0.742	0.6844106463878328
0.742	0.6806083650190115
0.742	0.6768060836501901
0.742	0.6730038022813689
0.742	0.6692015209125475
0.742	0.6653992395437263
0.742	0.661596958174905
0.742	0.6577946768060836
0.742	0.6539923954372624
0.742	0.6501901140684411
0.742	0.6463878326996197
0.742	0.6425855513307985
0.742	0.6387832699619772
0.742	0.6349809885931559
0.742	0.6311787072243347
0.742	0.6273764258555133
0.742	0.623574144486692
0.742	0.6197718631178708
0.742	0.6159695817490495
0.742	0.6121673003802282
0.742	0.6083650190114069
0.742	0.6045627376425855
0.742	0.6007604562737643
0.742	0.5969581749049431
0.742	0.5931558935361216
0.742	0.5893536121673004
0.742	0.5855513307984791
0.742	0.5817490494296578
0.742	0.5779467680608366
0.742	0.5741444866920152
0.742	0.5703422053231939
0.742	0.5665399239543727
0.756	0.5627376425855514
0.771	0.55893536121673
0.773	0.5551330798479088
0.774	0.5513307984790875
0.778	0.5475285171102662
0.783	0.543726235741445
0.799	0.5399239543726235
0.83	0.5361216730038023
0.83	0.532319391634981
0.833	0.5285171102661597
0.84	0.5247148288973384
0.861	0.5209125475285171
0.87	0.5171102661596958
0.887	0.5133079847908746
0.887	0.5095057034220533
0.887	0.5057034220532319
0.887	0.5019011406844107
